rxn_id,enzyme_id,group,u_sub_27C,u_opt_37C,u_supra_44.65C
S2FE2SS2No1,P77444,default,2.998988945242999e-06,1.748803777790657e-06,1.888152825604406e-06
PYK4No1,P21599,default,4.58625242818788e-06,3.5310145070234877e-06,3.9096032507385665e-06
ACOAD1frNo1,P0A9U8,default,9.456894742386551e-05,7.454568690470827e-05,8.594080704704706e-05
DHNPA2rNo1,P0AC16,default,0.0002253299156209776,0.00013913464243389716,0.0001246706508215642
PYK2No1,P21599,default,1.0811955739071562e-05,8.324263254528701e-06,9.216775126574945e-06
PYK3No1,P21599,default,6.305653966441063e-05,6.098528954901691e-05,5.5826011956452684e-05
PYK6No1,P21599,default,6.652173584849299e-07,5.121593675693548e-07,5.670721330548363e-07
4HTHRKNo1,P00547,default,3.279285202078546e-07,2.274979564243567e-07,2.3790041223482733e-07
OPHHXyNo1,P25535,default,2.419519755682557e-07,1.9072303021250655e-07,2.1987712260099388e-07
DHORTS_REVNo1,P05020,default,0.00851473232189038,0.006435190022457851,0.007434849075223545
TRPAS2_REVNo1,P0A853,default,0.00014295365952098814,8.89916938886382e-05,8.37942432825647e-05
PPM_REVNo1,P0A6K6,default,0.0008284431979355596,0.0005563343202484569,0.000485481885728777
ASPTA_REVNo2,P04693,default,0.00048512746686890895,0.0003657133599256762,0.0003906398936895318
ILETA_REVNo1,P0AB80,default,0.00010465354510374804,8.093163776402744e-05,9.412352299756521e-05
VALTA_REVNo1,P0AB80,default,0.00036210052396554344,0.00028002289278105264,0.0003256667221460483
IPPMIb_REVNo1,P0A6A6,default,4.5604568242396034e-07,3.4896343201518294e-07,3.563147771169549e-07
ORPT_REVNo1,P0A7E3,default,0.004964838197096974,0.0031765366948338447,0.0029891809116488776
PTAr_REVNo2,P77218,default,0.0004734987800407063,0.0003956751575372495,0.00035812423171575767
IMPC_REVNo1,P15639,default,0.005853314553555635,0.004451872359369308,0.0046395352075595175
PGK_REVNo1,P0A799,default,0.00387995912017301,0.002408694821173602,0.0025635150679454806
RPE_REVNo1,P0AG07,default,3.386628409198926e-05,2.140549617862768e-05,1.837211588890843e-05
AIRC3_REVNo1,P0AG18,default,0.0013441350134694486,0.0007071228581047081,0.0006221688760238294
