rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,17.5,290.65
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,23.75,296.9
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,30.0,303.15
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,36.25,309.4
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,42.5,315.65
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,48.75,321.9
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,55.0,328.15
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,5.0,278.15
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,11.25,284.4
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,17.5,290.65
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,23.75,296.9
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,30.0,303.15
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,36.25,309.4
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,42.5,315.65
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,48.75,321.9
AB6PGHNo1,Q46829,Arbutin 6-phosphate,arbt6p,MNXM2806,55.0,328.15
