rung,experiment,strain,quantity,before,after,abs_change,rel_change
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_38C,0.7988000000000017,0.7988,-1.7763568394002505e-15,2.223781721833058e-15
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_40C,0.7802023086342309,0.7802023086342144,-1.6542323066914832e-14,2.1202607174891212e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_42C,0.7004736526110302,0.7004736526110165,-1.3766765505351941e-14,1.9653509384737078e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,mu_44C,0.2601512841790133,0.2601512841790079,-5.384581669432009e-15,2.069788617966926e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_22C,0.0508351631137158,0.0508351631137175,1.700029006457271e-15,3.344198980249927e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_24C,0.0894251529812654,0.0894251529812835,1.8110513089197866e-14,2.0252146611358916e-13
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_26C,0.1437206792064426,0.1437206792064638,2.120525977034049e-14,1.475449454276578e-13
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_30C,0.2778651149112247,0.2778651149112043,-2.0372592501871623e-14,7.331828073625031e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_32C,0.3381000624407597,0.3381000624407714,1.1712852909795402e-14,3.464315512171097e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_34C,0.382943584876152,0.3829435848761686,1.659783421814609e-14,4.3342766072224465e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_36C,0.4078918283587608,0.4078918283587299,-3.091971123581061e-14,7.580370354616473e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_38C,0.4152229868263409,0.4152229868263486,7.716050021144838e-15,1.8582906693390578e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_40C,0.405555749774551,0.4055557497745508,-2.220446049250313e-16,5.475069828216373e-16
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_42C,0.3641121209693391,0.3641121209693395,3.885780586188048e-16,1.0671934171933976e-15
B1s sensitivity,transfer_candida_B1s_fit_dTm,cauris_iRV973,model_mu_44C,0.1352288348066072,0.1352288348066073,1.1102230246251565e-16,8.209957781658796e-16
B1s sensitivity,transfer_candida_B1s_fit_dTm,chaemulonii_draft,growth_scale,1.9237855931470491,1.9237855931470096,-3.952393967665557e-14,2.054487767111294e-14
B1s sensitivity,transfer_candida_B1s_fit_dTm,chaemulonii_draft,peak_mu,0.6822803090520624,0.6822803090520799,1.7541523789077473e-14,2.5710142233840932e-14
